
央视精选,#genre#
第一剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8
风云剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8
风云音乐,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/index.m3u8
女性时尚,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226969/index.m3u8
怀旧剧场,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8
世界地理,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/index.m3u8
兵器科技,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226975/index.m3u8
高尔夫网球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/index.m3u8
文化精品,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/index.m3u8
风云足球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8
央视台球,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8
电视指南,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/index.m3u8


兵器科技,http://111.20.33.82/PLTV/88888893/224/3221226975/index.m3u8$超清1080P

世界地理,http://111.20.33.82/PLTV/88888893/224/3221226947/index.m3u8$超清1080P

女性时尚,http://111.20.33.70/PLTV/88888893/224/3221226969/index.m3u8

文化精品,http://111.20.33.82/PLTV/88888893/224/3221226981/index.m3u8$超清1080P

电视指南,http://111.20.33.82/PLTV/88888893/224/3221226987/index.m3u8$超清1080P

第一剧场,http://111.20.33.82/PLTV/88888893/224/3221226959/index.m3u8$超清1080P

怀旧剧场,http://111.20.33.82/PLTV/88888893/224/3221226972/index.m3u8$超清1080P

风云音乐,http://111.20.33.82/PLTV/88888893/224/3221226953/index.m3u8$超清1080P

风云剧场,http://111.20.33.82/PLTV/88888893/224/3221226950/index.m3u8$超清1080P

风云足球,http://111.20.33.82/PLTV/88888893/224/3221226984/index.m3u8$超清1080P

央视台球,http://111.20.33.82/PLTV/88888893/224/3221226956/index.m3u8$超清1080P

高尔夫网球,http://111.20.33.82/PLTV/88888893/224/3221226978/index.m3u8$超清1080P


央视,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
